Title,ShortDescription,Condition,SellerItemRevision,ItemId,Price,Currency,Color,Size,Material,Brand,SellerUsername,ItemWebUrl,ItemCreationDate,ItemHref,ImageURL
Zoe Kratzman sanction dress oatmeal Size 0,BNWT,New with tags,2.0,v1|157019707436|0,60.0,AUD,oatmeal,0,linen viscose,Zoe Kratzman,em.mitch,https://www.ebay.com.au/itm/157019707436?_skw=Zoe+Kratzman&hash=item248f1a982c:g:0jcAAOSw3TRoMVLY,24/05/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C157019707436%7C0,https://i.ebayimg.com/images/g/0jcAAOSw3TRoMVLY/s-l225.jpg
Zoe Kratzman Linen Button Up Dress,Colour: White and Cream. 100% Linen. Steph is 180cm and is wearing a size 0.,Pre-owned - Good,,v1|256989346549|557617240616,248.6,AUD,See Product Description,0,,Zoe Kratzman,theharmonic,https://www.ebay.com.au/itm/256989346549?_skw=Zoe+Kratzman&hash=item3bd5c23af5:g:sb8AAeSwjxhoW2iZ&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbEhars6fGTMkaz6wFeUGZCNsB%2Bp6Qc5O5Wj4WzE006btLgVQ3jLYZ0V4FkRvC7BV9tDPbozitppM7gpZQ3vn9HrRC75ah9J72iTyuDNVd5muKaYJGVv4JpRCw7bLdljS2RP4WRZgqS6Dq5udqQa2MHWAuhWXuRsHl9p97CHmdYtPcvEpOQ%2FoVVdRlHEUUyrEge3IVuU93TxiXUcXU9ILiR4CLnC5nRvw73JgvokU8Ify2jMsuCpVCnH6qMXZSqFCXgpZCw7aPUKGeFh4q57fcRYf4StKcK83HbjV61vWL%2BpQ%3D%3D,25/06/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C256989346549%7C557617240616,https://i.ebayimg.com/images/g/sb8AAeSwjxhoW2iZ/s-l225.jpg
Zoe Kratzman Dress Embroidered Midi Blue 3/4 Sleeve With Belt Size 1,"Good condition used clothes, no stain or tear. Length (shoulder to bottom hem): 115 cm. Free pick up or drop off in Robertson, QLD 4109.",Pre-owned - Good,,v1|297444196220|0,165.55,AUD,Blue,1,100% ramie,Zoe Kratzman,bububillionstore,https://www.ebay.com.au/itm/297444196220?_skw=Zoe+Kratzman&hash=item45410e3f7c:g:2gwAAOSwJH9lcETH&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaSXDcNL%2BrM5N0dScmbeljP0GfW8ORdLOUD3FGT%2FsiMI0NCVHA4KKli8OoSVnwsSj4TDHAIzpt8EQ149E5EbaSFH2xk8di3cojeB5%2BPECtzDmmyvoPBh6%2FFnL9J5mXTceXZDWyYxyMwIvDo3pw9fiiHKzUW85C9%2BS9yCdiswVAcEDTM%2B%2BRXc1yPeRDAk9O806N2EdbUiOfUwPRt73nU6%2B1DGrd9o3cP2gncUQX8lms%2FC3GFZd21tSy5xISEgsb3zVznPUY97WOhi5qaNfaWLcsqojyFwMoc0X6T8seWyw%2B3jg%3D%3D,30/06/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C297444196220%7C0,https://i.ebayimg.com/images/g/2gwAAOSwJH9lcETH/s-l225.jpg
"Zoe Kratzman Dress, Tether, Long Sleeve, Size 2 (AU12/US8)",Zoe Kratzman – Tether Dress Size 2 (AU12/US8) In excellent condition - no issues,Pre-owned - Excellent,,v1|127195187931|0,200.0,AUD,Rust,12,"Cotton Blend, Polyester",Zoe Kratzman,aus.kath,https://www.ebay.com.au/itm/127195187931?_skw=Zoe+Kratzman&hash=item1d9d6c8adb:g:5g4AAOSwZGpma7vL,24/06/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C127195187931%7C0,https://i.ebayimg.com/images/g/5g4AAOSwZGpma7vL/s-l225.jpg
Zoe Kratzman Dress Size 0. Worn Once,Zoe Kratzman dress. Has a beige slip for under the dress.,Pre-owned - Excellent,1.0,v1|267141753895|0,100.0,AUD,Multicoloured,0,,Zoe Kratzman,parris1612,https://www.ebay.com.au/itm/267141753895?_skw=Zoe+Kratzman&hash=item3e32e3ac27:g:g3MAAOSwmwdnnXDd,1/02/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C267141753895%7C0,https://i.ebayimg.com/images/g/g3MAAOSwmwdnnXDd/s-l225.jpg
zoe kratzmann 1 Linen Mini Dress Listed Elsewhere,Worn once Love this for its style and quality Beautiful green Looks great with tights and in summer can be worn too.,Pre-owned - Excellent,,v1|127231099364|0,120.0,AUD,Green,M,Linen,Zoe Kratzman,amv123x,https://www.ebay.com.au/itm/127231099364?_skw=Zoe+Kratzman&hash=item1d9f9081e4:g:M~YAAeSwC~1oWiIg,14/07/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C127231099364%7C0,https://i.ebayimg.com/images/g/M~YAAeSwC~1oWiIg/s-l225.jpg
Isabel Marant Etoile Womens Wrap Dress Blue Cotton Raw Hem Size 40,Length - 90 cm.,Pre-owned - Good,,v1|116693362747|0,79.95,AUD,Blue,40,"Cotton, Cotton Blend",Isabel Marant,prelovedlife,https://www.ebay.com.au/itm/116693362747?_skw=Isabel+Marant&hash=item1b2b77683b:g:TNsAAeSwswBod1LH,16/07/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C116693362747%7C0,https://i.ebayimg.com/images/g/TNsAAeSwswBod1LH/s-l225.jpg
Isabel Marant Etoile Patsy Cotton Dress 38 Like New,"blue (almost lilac) size 38 Comes with matching slip Absolutely gorgeous dress but I have one very similar! More details here: Fabric: Lightweight, non-stretch weave Lace trim Pleating and seamed crease details Long sleeves with cap shoulder detail and button closure cuffs Mini-dress cut Button and hidden snap closure at back Shell: 100% cotton Partially lined Lining: 100% viscose Wash cold Imported, India",Pre-owned - Excellent,,v1|136161668584|0,160.0,AUD,Blue,38,Cotton,Isabel Marant,roseygirl1900,https://www.ebay.com.au/itm/136161668584?_skw=Isabel+Marant&hash=item1fb3de2de8:g:P44AAeSwhgtod1uX,16/07/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C136161668584%7C0,https://i.ebayimg.com/images/g/P44AAeSwhgtod1uX/s-l225.jpg
Isabel Marant Etoile size M Grey/ Green scoop neck 3/4 sleeve sweater dress,"Condition: Very good pre owned condition, Tiny bit of piling not sure if by design as appears to be very even it can be seen in the last photo. waist: 55cm. total length: 90cm.",Pre-owned - Good,,v1|357300267902|0,75.0,AUD,Green,M,"100% Cotton, Cotton",Isabel Marant,reuse_rewear_restore,https://www.ebay.com.au/itm/357300267902?_skw=Isabel+Marant&hash=item5330c16b7e:g:UusAAOSwEvBlyf~P,17/07/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C357300267902%7C0,https://i.ebayimg.com/images/g/UusAAOSwEvBlyf~P/s-l225.jpg
ISABEL MARANT French Designer Brand ETOILE Silk Dress - Khaki colour - AU10,French Designer Isabel Marant ETOILE 100% Soie Silk khaki colour shirt dress - Size 2 but fits me at size 10 Has a tie for around the waist and 2 extra buttons as all are still attached. Small imperfection found which looks like a needle through the end of one end of the belt - shown.,Pre-owned - Excellent,7.0,v1|226801703930|0,90.0,AUD,Khaki,10,Silk,Isabel Marant,an_outfit_to_remember,https://www.ebay.com.au/itm/226801703930?_skw=Isabel+Marant&hash=item34ce6f5bfa:g:taoAAeSwjlZoQ9zK,7/06/2025,https://api.ebay.com/buy/browse/v1/item/v1%7C226801703930%7C0,https://i.ebayimg.com/images/g/taoAAeSwjlZoQ9zK/s-l225.jpg
